,year,odometer,numtype,numdrive,numcylinders,nummodel,price
207,2004,165000.0,5,2,2,29,23500
208,2014,49000.0,5,2,2,27,24950
209,2011,114000.0,6,2,0,40,6950
210,2006,109240.0,0,1,0,21,4400
211,2014,85981.0,3,1,0,36,7500
212,2008,201967.0,5,0,2,27,10900
213,2014,38000.0,6,1,0,36,9999
214,2004,250000.0,3,2,0,36,1500
215,2005,224705.0,5,0,2,27,8900
216,2012,207603.0,5,2,2,28,10900
217,2013,136000.0,0,2,1,34,9900
218,2002,196000.0,5,0,2,27,3800
219,2002,151000.0,7,2,2,11,14500
220,2006,74979.0,7,2,2,12,9000
221,2012,127831.0,0,1,1,21,8200
222,2012,120020.0,6,1,0,40,6750
223,2008,100081.0,6,1,0,10,5000
224,2008,147371.0,5,2,2,28,22900
225,2003,152665.0,0,0,1,26,2695
226,2014,145000.0,5,0,2,27,17000
227,2007,95000.0,2,2,2,44,11000
228,2015,102598.0,7,2,1,54,21995
229,2016,17000.0,6,1,0,36,11995
230,2011,189834.0,7,1,0,57,7995
231,2015,90547.0,7,2,1,54,23995
232,2004,175000.0,5,2,0,46,5500
233,2012,217012.0,5,2,1,27,6995
234,2008,110310.0,5,2,2,27,10995
235,2012,173412.0,7,2,2,18,10995
236,2010,175303.0,5,2,2,27,9995
237,2004,153976.0,5,2,2,28,9995
238,2019,30703.0,7,2,1,54,26995
239,2018,42548.0,7,2,1,77,26995
240,2013,136905.0,7,2,2,18,17995
241,2017,54887.0,7,1,0,66,19995
242,2011,128028.0,7,2,2,18,12995
243,2015,80384.0,7,2,1,54,16995
244,2007,25550.0,2,2,1,44,25000
245,2016,81037.0,7,2,1,54,17995
246,2004,83421.0,7,2,2,18,12995
247,2013,78000.0,1,2,1,44,14990
248,2006,129055.0,5,2,1,27,5895
249,2007,125000.0,6,0,1,40,7000
250,2004,179000.0,6,1,1,52,3450
251,2012,115000.0,6,0,2,28,6000
252,2004,179000.0,6,1,1,52,3450
253,2012,93000.0,3,1,0,33,5995
254,2002,85574.0,6,1,1,52,3999
255,2007,166000.0,5,0,2,30,14995
256,2015,91464.0,0,0,1,26,16999
257,2002,85574.0,6,0,1,52,3999
258,2005,178165.0,5,0,1,28,13500
259,2013,116000.0,6,1,0,5,7995
260,2011,130000.0,0,1,0,19,11999
261,2013,139000.0,8,1,1,34,7999
262,2014,82100.0,0,1,0,26,17950
263,2001,52000.0,2,2,2,44,13200
264,2008,134481.0,5,2,2,28,15995
265,2012,103571.0,5,2,2,28,18995
266,2014,97343.0,5,2,1,27,19995
267,2018,40079.0,5,2,1,77,26995
268,2011,130608.0,1,2,1,44,12490
269,2015,132203.0,0,0,1,26,14990
270,2006,120925.0,2,2,2,44,10995
271,2004,148000.0,2,2,2,44,5000
272,2016,78224.0,6,1,0,36,6995
273,2002,200000.0,0,1,0,21,3000
274,2017,51000.0,6,1,0,36,7600
275,2016,79000.0,6,1,0,36,9995
276,2004,175000.0,5,2,0,46,5500
277,2013,107000.0,6,1,1,34,13995
278,2017,17000.0,6,1,0,33,12995
279,2008,135361.0,6,2,2,27,11995
280,2010,171273.0,5,2,2,27,7995
281,2014,189251.0,5,2,2,18,9995
282,2014,84000.0,6,1,0,40,12995
283,2015,155285.0,5,0,2,29,23500
284,2003,210000.0,5,2,2,28,8750
285,2011,130608.0,1,2,1,44,12490
286,2015,56800.0,0,1,1,26,23900
287,2013,41000.0,6,1,0,36,9995
288,2012,74000.0,2,2,1,44,13995
289,2011,124000.0,2,2,2,28,18995
290,2014,115000.0,1,2,1,44,10995
291,2016,105000.0,0,0,0,21,11995
292,2006,130000.0,0,2,2,28,10995
293,2015,72000.0,6,1,0,40,12995
294,2017,87232.0,5,2,2,28,29995
295,2013,52189.0,5,2,2,29,29995
296,2008,162000.0,5,2,2,28,16995
297,2015,91464.0,0,0,1,26,17999
298,2006,41935.0,1,2,2,44,16550
299,2013,135000.0,6,2,1,52,7900
300,2009,99000.0,0,1,1,34,999
301,2013,138541.0,0,2,2,18,15995
302,2018,27767.0,0,1,0,66,21995
303,2010,124500.0,5,0,2,28,24500
304,2007,87000.0,5,0,2,28,26250
305,2018,38000.0,6,1,0,36,13995
306,2016,92000.0,6,1,0,36,8995
307,2016,36000.0,6,1,0,40,15995
308,2004,91898.0,5,2,2,29,16999
309,2017,103000.0,5,2,1,27,24995
310,2013,120421.0,5,2,1,27,14995
311,2017,47000.0,6,1,0,27,8500
312,2003,186000.0,5,2,2,30,10500
313,2017,131614.0,6,1,0,36,1499
314,2011,147000.0,6,2,0,36,4000
315,2015,50000.0,6,2,1,44,10800
316,2009,169105.0,0,2,1,25,1499
317,2011,159477.0,7,2,2,18,10595
318,2012,122000.0,0,0,1,21,7500
319,2010,62000.0,0,1,0,21,9800
320,2012,106892.0,3,1,0,33,7900
321,2002,259000.0,5,0,2,28,8500
322,2017,119350.0,6,1,0,40,9800
323,2013,162003.0,0,1,1,19,8500
324,2013,162290.0,6,0,1,19,6700
325,2005,219000.0,0,0,1,26,3000
326,2012,177700.0,6,1,0,40,4900
327,2013,116000.0,0,1,0,21,9500
328,2013,197000.0,6,2,0,33,3300
329,2017,91135.0,6,2,0,40,14995
330,2013,121321.0,0,1,0,21,12995
331,2018,51000.0,6,1,0,40,14900
332,2015,134359.0,6,1,0,40,10500
333,2016,115813.0,0,0,1,26,18325
334,2015,110000.0,0,0,1,24,23735
335,2011,142545.0,0,1,1,19,7950
336,2012,122000.0,0,0,1,21,7500
337,2013,134900.0,0,1,1,19,9400
338,2012,128881.0,6,1,1,40,8900
339,2017,90987.0,0,0,1,26,21995
340,2017,90987.0,0,0,1,26,21995
341,2012,122000.0,0,0,1,21,7500
342,2013,50000.0,2,2,2,44,22988
343,2007,174000.0,6,2,1,52,3350
344,2011,125000.0,6,2,0,36,5299
345,2007,217423.0,6,2,2,52,1500
346,2011,125000.0,6,2,0,36,5299
347,2014,75000.0,3,1,0,33,10988
348,2007,174000.0,6,1,1,52,3350
349,2011,125000.0,6,1,0,36,5299
350,2006,141204.0,0,2,2,24,6500
351,2006,206000.0,5,0,2,27,10200
352,2002,184000.0,5,2,2,27,4250
353,2019,35000.0,2,2,0,44,27250
354,2014,87715.0,0,0,0,21,8990
355,2010,180000.0,0,2,2,24,10800
356,2017,72849.0,0,0,1,24,29900
357,2015,98000.0,0,1,0,21,11000
358,2019,35000.0,2,2,0,44,26900
359,2008,210104.0,2,2,2,29,10900
360,2008,134452.0,2,2,2,29,12900
361,2004,196123.0,5,2,2,27,6995
362,2014,219581.0,7,1,0,57,9500
363,2017,113617.0,7,2,1,49,22300
364,2017,108482.0,7,2,1,49,23900
365,2014,45026.0,7,1,0,57,17600
366,2008,140000.0,6,1,0,40,2800
367,2003,76456.0,4,1,1,81,5800
368,2008,238000.0,0,1,2,24,8900
369,2014,219581.0,7,1,0,57,9500
370,2017,141625.0,7,2,1,49,20300
371,2012,155920.0,3,1,0,36,5500
372,2009,186700.0,0,2,2,24,8500
373,2007,121000.0,5,2,1,46,8975
374,2013,161000.0,0,0,1,26,13975
375,2009,139011.0,6,1,0,36,6998
376,2002,55000.0,1,2,2,44,18500
377,2013,139000.0,3,1,0,5,7975
378,2009,169000.0,2,2,2,44,11975
379,2004,98872.0,5,2,2,27,14995
380,2013,100125.0,6,2,0,36,6200
381,2003,149055.0,5,0,2,27,2595
382,2014,116553.0,0,1,1,26,13997
383,2013,115836.0,5,2,1,27,20997
384,2010,175814.0,2,2,1,44,8997
385,2010,132560.0,5,0,2,27,19862
386,2017,65353.0,1,2,0,44,20267
387,2005,119000.0,0,2,1,26,3900
388,2002,41000.0,7,2,2,18,19500
389,2006,40000.0,1,2,2,44,13500
390,2013,100125.0,6,2,0,36,6200
391,2002,128487.0,6,2,1,27,7998
392,2010,138917.0,6,0,1,40,5995
393,2004,196818.0,6,2,2,10,3200
394,2012,160000.0,0,2,0,21,7500
395,2010,105000.0,6,2,2,10,4500
396,2011,144000.0,0,0,1,19,8990
397,2015,112000.0,0,0,1,26,16500
398,2013,101370.0,0,0,1,19,14495
399,2008,87500.0,2,2,2,44,17500
400,2006,138849.0,6,1,0,36,4995
401,2010,141325.0,6,1,0,36,5495
402,2006,186000.0,0,0,2,24,6000
403,2014,167713.0,6,1,0,36,5995
404,2004,196818.0,6,2,2,10,3200
405,2011,74329.0,1,2,2,44,19900
406,2005,240000.0,5,1,1,26,3000
407,2014,91819.0,6,1,0,36,8995
408,2007,150000.0,2,1,1,44,6500
409,2013,108000.0,6,1,1,52,8990
410,2011,287777.0,6,2,2,18,9995
411,2010,138917.0,6,0,1,40,6495
412,2015,84800.0,6,0,1,33,8000
413,2009,92168.0,6,0,0,36,5500
414,2007,170510.0,5,0,2,27,12995
415,2018,33653.0,6,1,0,40,15995
416,2013,110155.0,6,1,0,40,10995
417,2008,81818.0,6,1,1,52,6995
418,2010,104463.0,6,2,2,10,4500
419,2001,130000.0,0,0,2,24,4999
420,2005,84300.0,5,2,2,28,17999
421,2006,129055.0,5,2,2,27,5895
422,2012,160000.0,6,1,0,36,5999
423,2015,120500.0,0,2,1,26,14900
424,2015,72231.0,2,2,0,44,19950
425,2006,101000.0,2,2,1,44,9995
426,2016,71744.0,7,2,1,54,29999
427,2007,176775.0,0,0,2,24,10999
428,2003,240213.0,0,0,2,24,5995
429,2016,3289.0,6,1,0,40,10999
430,2015,119872.0,0,1,0,21,12999
431,2013,147124.0,3,1,0,5,7900
432,2005,109700.0,5,2,2,27,12500
433,2008,113000.0,5,0,2,28,27900
434,2017,42388.0,6,1,0,40,17950
435,2013,89802.0,0,1,0,26,15950
436,2013,163940.0,6,1,0,40,8450
437,2017,63851.0,6,1,0,40,16450
438,2010,123033.0,2,2,1,44,11950
439,2015,123170.0,6,1,0,40,9450
440,2011,115144.0,0,1,1,26,16995
441,2018,43428.0,6,1,0,33,13995
442,2013,147124.0,8,1,0,5,8200
443,2005,84300.0,5,2,2,28,17999
444,2011,115144.0,0,1,1,26,16995
445,2014,151000.0,2,2,1,44,11995
446,2011,94000.0,8,1,1,34,13995
447,2013,147124.0,8,1,0,5,8200
448,2011,98000.0,2,2,2,44,18500
449,2018,45362.0,0,1,0,19,27999
450,2005,84300.0,5,2,2,28,17999
451,2017,71891.0,6,1,0,33,9999
452,2005,180145.0,6,1,2,27,10998
453,2006,101000.0,2,2,1,44,9995
454,2001,80000.0,6,2,1,52,4999
455,2012,124000.0,3,1,0,33,4500
456,2014,12500.0,3,1,0,33,9000
457,2013,147124.0,8,1,0,5,8200
458,2007,119976.0,6,1,1,40,5999
459,2014,126000.0,5,2,2,27,19500
460,2017,42388.0,6,1,0,40,17950
461,2008,79725.0,5,0,2,28,28450
462,2003,166298.0,6,1,1,52,3999
463,2012,110297.0,3,1,0,33,6999
464,2008,139157.0,5,0,2,28,29999
465,2013,89400.0,3,1,0,5,7999
466,2014,116553.0,0,1,1,26,13997
467,2013,115836.0,5,2,1,27,20997
468,2010,175814.0,2,2,1,44,8997
469,2007,171543.0,0,1,1,19,5999
470,2006,92722.0,7,1,1,38,4999
471,2013,147124.0,8,1,0,5,8200
472,2011,129853.0,6,0,1,52,9999
473,2014,97800.0,6,1,0,40,12000
474,2003,149055.0,5,0,2,27,2595
475,2018,33653.0,6,1,0,40,14995
476,2013,110155.0,6,1,0,40,10995
477,2007,168905.0,0,0,1,19,5400
478,2012,95164.0,6,1,0,40,8250
479,2018,67454.0,6,1,0,40,14999
480,2013,147124.0,8,1,0,5,8200
481,2006,162652.0,0,0,1,38,4999
482,2013,89802.0,0,1,0,26,15950
483,2013,163940.0,6,1,0,40,8450
484,2017,63851.0,6,1,0,40,16450
485,2010,123033.0,2,2,1,44,11950
486,2005,197237.0,5,0,2,27,9950
487,2001,168000.0,5,0,2,28,19995
488,2006,212000.0,5,0,2,28,12000
489,2012,79450.0,6,1,0,40,7799
490,2006,115000.0,6,1,1,40,4500
491,2003,70667.0,5,2,1,27,9875
492,2003,115000.0,6,1,0,36,3500
493,2012,79450.0,6,1,0,40,7790
494,2007,171000.0,0,0,2,24,7500
495,2010,178000.0,0,2,2,24,9000
496,2012,91500.0,0,2,2,21,8500
497,2015,114000.0,6,1,2,33,3900
498,2003,183644.0,6,1,1,52,2000
499,2002,162000.0,6,2,1,27,6500
500,2008,51500.0,5,0,2,27,17000
501,2008,208810.0,0,1,1,52,3000
502,2005,164000.0,5,0,2,27,10000
503,2003,137000.0,5,0,2,28,23000
504,2019,9990.0,5,0,2,27,27800
505,2005,200000.0,0,2,2,24,2000
506,2010,91000.0,0,1,1,19,10500
507,2010,91000.0,0,1,1,19,10500
508,2010,91000.0,0,1,1,19,10500
509,2002,130000.0,8,1,0,36,2000
510,2006,100333.0,6,1,0,36,3500
511,2009,155000.0,6,1,0,36,3500
512,2001,200000.0,6,1,2,36,1500
513,2007,160070.0,5,1,1,46,8000
514,2016,54322.0,0,1,1,26,21900
515,2001,144100.0,0,2,1,24,3950
516,2012,87500.0,6,2,1,52,10499
517,2010,180000.0,6,0,1,26,6000
518,2007,153000.0,5,1,1,46,6000
519,2015,115000.0,7,1,1,56,19777
520,2004,78400.0,1,2,2,44,10500
521,2013,137000.0,1,1,0,36,4700
522,2006,88636.0,0,1,0,21,5650
523,2012,152000.0,6,1,0,40,4000
524,2003,100384.0,6,2,1,52,3150
525,2006,257436.0,0,1,0,21,2000
526,2007,121000.0,5,2,1,46,8975
527,2009,100000.0,6,2,1,36,5700
528,2005,130000.0,6,2,2,44,6500
529,2011,119000.0,0,1,0,21,6000
530,2009,114318.0,0,1,0,21,6499
531,2013,99726.0,6,1,0,36,5800
532,2012,144000.0,5,2,2,27,19999
533,2013,161000.0,0,0,1,26,13975
534,2012,145000.0,6,1,0,33,2900
535,2002,167577.0,2,2,2,44,2250
536,2012,73594.0,2,2,1,44,16999
537,2011,159000.0,5,0,2,27,18999
538,2012,143000.0,5,0,2,28,24999
539,2016,102111.0,6,1,0,40,8900
540,2017,32000.0,3,2,0,5,12499
541,2007,185000.0,5,1,2,27,9995
542,2009,108000.0,6,2,2,10,7500
543,2011,191680.0,0,0,1,19,11000
544,2010,127000.0,6,1,0,40,3600
545,2011,119000.0,0,1,0,21,6000
546,2006,124830.0,0,1,0,21,4900
547,2009,95702.0,0,1,0,21,6900
548,2013,139000.0,3,1,0,5,7975
549,2009,169000.0,2,2,2,44,11975
550,2017,49532.0,2,2,2,44,22900
551,2013,143000.0,5,0,1,27,15900
552,2006,116000.0,2,2,2,44,9000
553,2008,135420.0,2,2,0,36,3400
554,2002,200000.0,0,2,2,26,2257
555,2011,144000.0,5,0,1,29,28449
556,2017,127733.0,7,1,1,29,20000
557,2014,124480.0,6,1,0,33,5488
558,2007,145000.0,3,1,0,36,2975
559,2003,160000.0,3,1,0,36,5500
560,2004,97156.0,2,2,1,44,3500
561,2013,143000.0,5,0,1,27,15900
562,2013,105650.0,0,1,0,21,7995
563,2006,174000.0,1,2,2,44,9650
564,2005,138000.0,0,2,2,23,12000
565,2009,185000.0,6,1,1,40,4500
566,2006,129055.0,5,1,1,27,5895
567,2011,119000.0,0,1,0,21,6200
568,2004,97156.0,2,2,1,44,3500
569,2002,160000.0,1,2,1,44,3000
570,2017,31697.0,0,1,0,26,4850
571,2009,80000.0,6,1,0,36,3900
572,2006,174000.0,1,2,2,44,9650
573,2012,145000.0,6,1,0,40,4000
574,2002,109000.0,6,1,0,36,4950
575,2002,179000.0,6,0,2,28,21500
576,2002,109000.0,6,1,0,36,4950
577,2013,102000.0,0,1,0,21,11300
578,2005,296000.0,3,1,0,36,1000
579,2013,98350.0,0,1,1,26,15900
580,2009,220000.0,7,2,2,13,9000
581,2007,200000.0,2,2,1,44,4800
582,2019,3850.0,0,0,0,21,29980
583,2013,129000.0,0,1,0,36,2000
584,2005,90307.0,5,2,2,27,11999
585,2018,107743.0,6,1,0,36,10499
586,2015,74148.0,7,2,1,49,24451
587,2017,96158.0,6,1,0,36,8995
588,2015,148219.0,7,1,0,57,14795
589,2014,90480.0,6,1,0,40,12900
590,2008,139851.0,5,2,2,27,12900
591,2017,27674.0,6,1,0,33,11900
592,2018,44569.0,6,1,1,52,20900
593,2003,138959.0,5,0,2,28,13500
594,2013,89189.0,6,2,0,40,9595
595,2012,78000.0,6,1,0,36,6500
596,2004,161000.0,6,2,0,29,8500
597,2015,28540.0,6,1,1,52,12451
598,2017,84111.0,6,1,0,36,9481
599,2014,106989.0,0,0,1,26,18750
600,2006,92722.0,7,1,1,37,4999
601,2007,168905.0,0,0,1,19,5400
602,2017,78928.0,0,1,0,21,15418
603,2018,44569.0,6,1,1,52,21900
604,2017,27674.0,6,1,0,33,12400
605,2008,139851.0,5,2,2,27,13900
606,2014,90480.0,6,1,0,40,12900
607,2017,96976.0,6,1,0,36,8995
608,2015,128000.0,2,2,0,44,14000
609,2013,89189.0,6,2,0,40,9595
610,2007,171543.0,0,1,1,19,5999
611,2017,97774.0,5,1,1,27,26310
612,2012,153122.0,7,1,0,57,9995
613,2011,126588.0,7,2,2,13,15695
614,2013,173032.0,5,2,2,28,20995
615,2010,164316.0,0,0,1,26,7499
616,2010,139601.0,6,1,0,40,6995
617,2014,178741.0,5,1,2,29,23995
618,2007,168905.0,0,0,1,19,5400
619,2011,184230.0,5,0,1,27,12695
620,2014,90480.0,6,1,0,40,12900
621,2008,139851.0,5,2,2,27,13900
622,2017,27674.0,6,1,0,33,12400
623,2018,44569.0,6,1,1,52,21900
624,2008,140000.0,6,0,1,26,6800
625,2002,143000.0,0,2,2,24,3750
626,2006,162652.0,0,0,1,38,4999
627,2017,87181.0,6,1,0,36,11986
628,2016,73741.0,6,1,0,36,10995
629,2014,120988.0,5,0,2,27,19651
630,2014,107038.0,5,0,2,27,23995
631,2013,124056.0,5,0,2,27,24950
632,2013,146176.0,6,1,0,40,6495
633,2006,92722.0,7,1,1,37,4999
634,2013,101637.0,0,1,0,21,9995
635,2012,195030.0,5,0,2,27,13495
636,2011,212000.0,6,1,0,36,3400
637,2017,61109.0,6,1,0,40,16995
638,2011,130935.0,7,1,2,14,19995
639,2012,123004.0,7,1,2,14,20995
640,2018,44569.0,6,1,1,52,21900
641,2017,27674.0,6,1,0,33,12400
642,2008,139851.0,5,2,2,27,13900
643,2006,125757.0,7,2,2,47,18000
644,2014,92202.0,0,2,0,21,13995
645,2019,3800.0,0,2,0,19,29980
646,2002,130000.0,0,0,1,26,2800
647,2016,49534.0,3,1,0,36,8999
648,2008,177753.0,0,0,1,19,6999
649,2015,93000.0,0,0,0,21,13250
650,2013,89189.0,6,2,0,40,9595
651,2011,22543.0,5,0,2,29,29995
652,2017,122486.0,6,1,0,36,8995
653,2011,44185.0,5,1,2,29,26995
654,2015,69602.0,5,1,2,28,29551
655,2013,135912.0,6,0,1,52,8995
656,2008,139851.0,5,2,2,27,13900
657,2017,27674.0,6,1,0,33,12400
658,2018,44569.0,6,1,1,52,21900
659,2008,99505.0,6,1,1,52,2500
660,2016,34437.0,6,1,1,52,13995
661,2013,84000.0,0,0,1,26,21999
662,2005,70000.0,3,0,0,36,4800
